Id,"Nombre producto",Precio,"Ruta imagen",Disponible,"Edicion Limitada",Stock,"Porcentaje descuento","Descripcion corta","Descripcion larga",Temporada,Categoria
21,"Hormoso detalle Rosas Azules",820,flores7.jpeg,No,No,1,0,"flores azules","arreglo flores azules",Primavera,flores
22,"Reloj Corazones",420,reloj.jpeg,Sí,Sí,1,0,reloj,reloj,Primavera,decoracion
23,"rosas amarillas",680,"globos y peluche.jpeg",Sí,Sí,1,10,globo,"globos amarillas",Primavera,decoracion
24,"ANTURIOS BLANCOS",380,anturios.jpeg,Sí,Sí,1,0,Anturios,"Arreglo de anturios",Primavera,flores
25,"HERMOSO ARREGLO DE ROSAS",450,"globos y rosas.jpeg",Sí,Sí,1,0,ROSAS,"ROSAS ROSADAS",Primavera,flores
26,"HERMOSAS ROSAS ROJAS",600,rosas1.jpeg,Sí,Sí,1,0,ROJAS,ROSAS,Primavera,flores
27,"Vino espumoso",320,vino3.jpeg,Sí,Sí,3,0,decorado,vino,Primavera,comestibles
28,"Vino Azul ",370,vino1.jpeg,Sí,Sí,1,0,azul,vino,Primavera,comestibles
29,"Vino Espumoso Rosa",420,vino2.jpeg,Sí,Sí,1,0,rosas,"vino rosa",Otoño,comestibles
